,link,date,judge,decision
58,https://www.nycourts.gov/reporter/motions/2024/2024_97058.htm,2024-01-24,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
59,https://www.nycourts.gov/reporter/motions/2024/2024_97059.htm,2024-01-30,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
60,https://www.nycourts.gov/reporter/motions/2024/2024_97060.htm,2024-01-26,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
61,https://www.nycourts.gov/reporter/motions/2024/2024_97061.htm,2024-01-02,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
62,https://www.nycourts.gov/reporter/motions/2024/2024_97062.htm,2024-01-25,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal denied
63,https://www.nycourts.gov/reporter/motions/2024/2024_97063.htm,2024-01-26,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
64,https://www.nycourts.gov/reporter/motions/2024/2024_97064.htm,2024-01-24,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
65,https://www.nycourts.gov/reporter/motions/2024/2024_97065.htm,2024-01-30,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
66,https://www.nycourts.gov/reporter/motions/2024/2024_97066.htm,2024-01-24,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
67,https://www.nycourts.gov/reporter/motions/2024/2024_97067.htm,2024-01-02,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied reconsideration
68,https://www.nycourts.gov/reporter/motions/2024/2024_97068.htm,2024-01-26,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
69,https://www.nycourts.gov/reporter/motions/2024/2024_97069.htm,2024-01-24,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
70,https://www.nycourts.gov/reporter/motions/2024/2024_97070.htm,2024-01-24,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
71,https://www.nycourts.gov/reporter/motions/2024/2024_97071.htm,2024-01-26,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
72,https://www.nycourts.gov/reporter/motions/2024/2024_97072.htm,2024-01-18,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
73,https://www.nycourts.gov/reporter/motions/2024/2024_97073.htm,2024-01-24,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
74,https://www.nycourts.gov/reporter/motions/2024/2024_97074.htm,2024-01-12,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
75,https://www.nycourts.gov/reporter/motions/2024/2024_97075.htm,2024-01-26,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
76,https://www.nycourts.gov/reporter/motions/2024/2024_97076.htm,2024-01-31,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
77,https://www.nycourts.gov/reporter/motions/2024/2024_97077.htm,2024-01-03,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
78,https://www.nycourts.gov/reporter/motions/2024/2024_97078.htm,2024-01-26,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
79,https://www.nycourts.gov/reporter/motions/2024/2024_97079.htm,2024-01-12,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
